UniqueID;Data;taxon_key;ScientificName;ScientificName_corrected;Species;Level;Genus;Family;Order;Class;FamCode;GenCode;DemersPelagic;EnvTemp;DepthRangeShallow;DepthRangeDeep;Lmax;BodyShape;Feeding_path;K;tm;trophic_level;DepthRangeDeepLevel;KLevel;tmLevel;trophic_levelLevel;LMaxLevel;BodyShapeILevel;EnvTempLevel
1223;initial;;Chelon haematocheilus;Planiliza haematocheila;Planiliza haematocheila;species;Planiliza;Mugilidae;;;359;5876;pelagic_neritic;temperate;5;10;80;fusiform;benthic;0.14;4.4;2.5;species;species;species;species;species;species;species
1224;initial;602499;Chelon labrosus;Chelon labrosus;Chelon labrosus;species;Chelon;Mugilidae;Mugiliformes;Actinopterygii;NA;NA;demersal;subtropical;;5;83.83;fusiform;benthic;0.12;5.37;2.6;genus;species;species;species;species;species;species
1225;initial;;Chelon parsia;Chelon parsia;Chelon parsia;species;Chelon;Mugilidae;Mugiliformes;Actinopterygii;NA;NA;demersal;tropical;;10;43.52;fusiform;pelagic;0.29;3.02;2.61;genus;genus;genus;genus;genus;genus;genus
399;SAU;;Chelon ramada;Chelon ramada;Chelon ramada;species;Chelon;Mugilidae;;;359;996;pelagic_neritic;temperate;10;20;70;fusiform;benthic;0.17;3.9;2.3;species;species;species;species;species;species;species
238;SAU;;Chelon saliens;Chelon saliens;Chelon saliens;species;Chelon;Mugilidae;;;359;996;demersal;subtropical;10;3;40;fusiform;benthic;0.26;2.7;2.9;genus;species;species;species;species;species;species
565;SAU;606407;Chilomycterus schoepfii;Chilomycterus schoepfii;Chilomycterus schoepfii;species;Chilomycterus;Diodontidae;Tetraodontiformes;Actinopterygii;449;1924;reef_associated;tropical;1;11;27.9;short_deep;benthic;0.46;1;3.5;species;order;order;species;species;species;species
1226;initial;602503;Chimaera monstrosa;Chimaera monstrosa;Chimaera monstrosa;species;Chimaera;Chimaeridae;Chimaeriformes;Holocephali;NA;NA;pelagic_oceanic;polar_deep;;1400;150;elongate;benthic;0.07;8.92;3.5;species;species;species;species;species;species;species
1227;initial;607108;Chionobathyscus dewitti;Chionobathyscus dewitti;Chionobathyscus dewitti;species;Chionobathyscus;Channichthyidae;Perciformes;Actinopterygii;NA;NA;pelagic_oceanic;polar_deep;;2000;60;elongate;pelagic;0.22;3;3.8;species;species;species;species;species;species;species
607;SAU;607109;Chionodraco hamatus;Chionodraco hamatus;Chionodraco hamatus;species;Chionodraco;Channichthyidae;Perciformes;Actinopterygii;384;1629;demersal;polar_deep;4;600;49;elongate;pelagic;0.12;5.6;3.6;species;species;species;species;species;species;species
1228;initial;607110;Chionodraco myersi;Chionodraco myersi;Chionodraco myersi;species;Chionodraco;Channichthyidae;Perciformes;Actinopterygii;NA;NA;demersal;polar_deep;;800;38;elongate;pelagic;0.33;2.1;3.8;species;species;species;species;species;species;species
1229;initial;600476;Chionodraco rastrospinosus;Chionodraco rastrospinosus;Chionodraco rastrospinosus;species;Chionodraco;Channichthyidae;Perciformes;Actinopterygii;NA;NA;benthopelagic;polar_deep;;1000;52;elongate;pelagic;0.25;2.7;3.8;species;species;species;species;species;species;species
1230;initial;606358;Chirocentrus dorab;Chirocentrus dorab;Chirocentrus dorab;species;Chirocentrus;Chirocentridae;Clupeiformes;Actinopterygii;NA;NA;reef_associated;tropical;;120;114.9;elongate;pelagic;0.17;3.6;4.4;species;species;species;species;species;species;species
1231;initial;601452;Chirocentrus nudus;Chirocentrus nudus;Chirocentrus nudus;species;Chirocentrus;Chirocentridae;Clupeiformes;Actinopterygii;NA;NA;pelagic_neritic;tropical;;150;100;elongate;pelagic;0.24;2.62;4.2;species;species;species;species;species;species;species
1232;initial;600385;Chloroscombrus chrysurus;Chloroscombrus chrysurus;Chloroscombrus chrysurus;species;Chloroscombrus;Carangidae;Perciformes;Actinopterygii;NA;NA;pelagic_neritic;subtropical;;55;65;fusiform;pelagic;0.65;1.12;3.5;species;species;species;species;species;species;species
1233;initial;601937;Chloroscombrus orqueta;Chloroscombrus orqueta;Chloroscombrus orqueta;species;Chloroscombrus;Carangidae;Perciformes;Actinopterygii;NA;NA;benthopelagic;subtropical;;55;30;fusiform;benthic;0.63;1.2;2.5;genus;species;species;species;species;species;species
1234;initial;;Chlorurus atrilunula;Chlorurus atrilunula;Chlorurus atrilunula;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;15;30;fusiform;benthic;0.89;3.67;2;species;genus;family;species;species;genus;species
1235;initial;;Chlorurus bleekeri;Chlorurus bleekeri;Chlorurus bleekeri;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;35;49;short_deep;benthic;0.89;3.67;2;species;genus;family;species;species;species;species
1236;initial;605542;Chlorurus bowersi;Chlorurus bowersi;Chlorurus bowersi;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;20;40;elongate;benthic;0.89;3.67;2.74;species;genus;family;species;species;species;species
1237;initial;;Chlorurus capistratoides;Chlorurus capistratoides;Chlorurus capistratoides;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;15;40;fusiform;benthic;0.89;3.67;2.12;species;genus;family;genus;species;species;species
1238;initial;;Chlorurus enneacanthus;Chlorurus enneacanthus;Chlorurus enneacanthus;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;7;50;fusiform;benthic;0.89;3.67;2;species;genus;family;species;species;species;species
1239;initial;605547;Chlorurus frontalis;Chlorurus frontalis;Chlorurus frontalis;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;40;50;elongate;benthic;0.89;3.67;2;species;genus;family;species;species;species;species
1240;initial;;Chlorurus genazonatus;Chlorurus genazonatus;Chlorurus genazonatus;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;33.07;31;fusiform;benthic;0.89;3.67;2;genus;genus;family;species;species;genus;species
1241;initial;;Chlorurus gibbus;Chlorurus gibbus;Chlorurus gibbus;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;33.07;70;fusiform;benthic;0.89;3.67;2;genus;genus;family;species;species;genus;species
1242;initial;;Chlorurus japanensis;Chlorurus japanensis;Chlorurus japanensis;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;20;31;fusiform;benthic;0.89;3.67;2;species;genus;family;species;species;species;species
1243;initial;608097;Chlorurus microrhinos;Chlorurus microrhinos;Chlorurus microrhinos;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;50;70;fusiform;benthic;0.26;3.67;2.12;species;species;family;genus;species;species;species
1244;initial;;Chlorurus perspicillatus;Chlorurus perspicillatus;Chlorurus perspicillatus;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;71;60.9;fusiform;benthic;0.89;3.67;2.12;species;genus;family;genus;species;species;species
1245;initial;;Chlorurus rhakoura;Chlorurus rhakoura;Chlorurus rhakoura;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;30;44.2;fusiform;benthic;0.89;3.67;2.12;species;genus;family;genus;species;genus;species
1246;initial;605556;Chlorurus sordidus;Chlorurus sordidus;Chlorurus sordidus;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;50;40;fusiform;benthic;1.09;3.67;2.62;species;species;family;species;species;species;species
1247;initial;;Chlorurus strongylocephalus;Chlorurus strongylocephalus;Chlorurus strongylocephalus;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;35;70;fusiform;benthic;0.89;3.67;2;species;genus;family;species;species;genus;species
1248;initial;;Chlorurus troschelii;Chlorurus troschelii;Chlorurus troschelii;species;Chlorurus;Scaridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;25;34.6;fusiform;benthic;0.89;3.67;2.12;species;genus;family;genus;species;genus;species
1249;initial;;Choerodon anchorago;Choerodon anchorago;Choerodon anchorago;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;25;38;fusiform;benthic;0.4;3.18;3.32;species;family;family;species;species;species;species
1250;initial;;Choerodon fasciatus;Choerodon fasciatus;Choerodon fasciatus;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;subtropical;;35;30;fusiform;benthic;0.4;3.18;3.38;species;family;family;species;species;species;species
1251;initial;;Choerodon graphicus;Choerodon graphicus;Choerodon graphicus;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;45.15;51.5;short_deep;benthic;0.4;3.18;3.37;genus;family;family;species;species;species;species
1252;initial;;Choerodon jordani;Choerodon jordani;Choerodon jordani;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;30;17;fusiform;benthic;0.4;3.18;3.5;species;family;family;species;species;species;species
1253;initial;;Choerodon robustus;Choerodon robustus;Choerodon robustus;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;tropical;;70;35;fusiform;benthic;0.4;3.18;3.35;species;family;family;species;species;genus;species
1254;initial;;Choerodon rubescens;Choerodon rubescens;Choerodon rubescens;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;reef_associated;subtropical;;45.15;90;fusiform;benthic;0.4;3.18;3.42;genus;family;family;genus;species;genus;species
1255;initial;;Choerodon zosterophorus;Choerodon zosterophorus;Choerodon zosterophorus;species;Choerodon;Labridae;Perciformes;Actinopterygii;NA;NA;demersal;tropical;;40;18;fusiform;benthic;0.4;3.18;3.42;species;family;family;genus;species;species;species
1256;initial;601706;Chromis chromis;Chromis chromis;Chromis chromis;species;Chromis;Pomacentridae;Perciformes;Actinopterygii;NA;NA;reef_associated;subtropical;;40;25;fusiform;benthic;0.25;3.23;3.8;species;species;species;species;species;species;species
710;SAU;611868;Chromis limbata;Chromis limbata;Chromis limbata;species;Chromis;Pomacentridae;Perciformes;Actinopterygii;350;2049;reef_associated;subtropical;5;45;12;fusiform;pelagic;0.48;1.7;3.4;species;species;species;species;species;species;species
493;SAU;605675;Chromis margaritifer;Chromis margaritifer;Chromis margaritifer;species;Chromis;Pomacentridae;Perciformes;Actinopterygii;350;2049;reef_associated;tropical;2;20;9;short_deep;pelagic;0.4;2.2;3;species;species;species;species;species;species;species
494;SAU;605677;Chromis ternatensis;Chromis ternatensis;Chromis ternatensis;species;Chromis;Pomacentridae;Perciformes;Actinopterygii;350;2049;reef_associated;tropical;2;36;10.5;short_deep;pelagic;0.65;1.3;3.4;species;species;species;species;species;species;species
495;SAU;605679;Chromis viridis;Chromis viridis;Chromis viridis;species;Chromis;Pomacentridae;Perciformes;Actinopterygii;350;2049;reef_associated;tropical;1;20;10;short_deep;pelagic;0.68;1.2;2.9;species;species;species;species;species;species;species
499;SAU;605693;Chrysiptera biocellata;Chrysiptera biocellata;Chrysiptera biocellata;species;Chrysiptera;Pomacentridae;Perciformes;Actinopterygii;350;1450;reef_associated;tropical;0;5;12.5;short_deep;benthic;0.75;1.1;2;species;species;species;species;species;species;species
796;SAU;656326;Chrysiptera brownriggii;Chrysiptera brownriggii;Chrysiptera brownriggii;species;Chrysiptera;Pomacentridae;Perciformes;Actinopterygii;350;1450;reef_associated;tropical;0;12;8;fusiform;benthic;0.84;1.1;2.7;species;species;species;species;species;species;species
500;SAU;605696;Chrysiptera glauca;Chrysiptera glauca;Chrysiptera glauca;species;Chrysiptera;Pomacentridae;Perciformes;Actinopterygii;350;1450;reef_associated;tropical;0;3;11.5;fusiform;benthic;0.79;1.1;2.4;species;species;species;species;species;species;species
197;SAU;601290;Ciliata mustela;Ciliata mustela;Ciliata mustela;species;Ciliata;Lotidae;Gadiformes;Actinopterygii;505;4239;demersal;temperate;17;22;25;elongate;pelagic;0.77;1;3.5;species;species;species;species;species;species;species
