,id_number,source,year,geographic_location_cleaned,hdi,demers_pelag,env_temp,form_clean,species_from_search,family,paper_id,nutrient,value,nut,species_short,species,country_sampled
79,A_29,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Mystus cavasius,Bagridae,Bogard_12,Protein,16.8,protein,M. cav.,Mystus cavasius,Bangladesh
80,A_29,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Mystus cavasius,Bagridae,Bogard_12,Zinc,1.3,zn,M. cav.,Mystus cavasius,Bangladesh
81,A_29,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Mystus cavasius,Bagridae,Bogard_12,Calcium,120,ca,M. cav.,Mystus cavasius,Bangladesh
82,A_29,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Mystus cavasius,Bagridae,Bogard_12,Iron,1.8,fe,M. cav.,Mystus cavasius,Bangladesh
83,A_29,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Mystus cavasius,Bagridae,Bogard_12,Selenium,41,se,M. cav.,Mystus cavasius,Bangladesh
84,A_30,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Macrognathus pancalus,Mastacembelidae,Bogard_12,Protein,17.9,protein,M. pan.,Macrognathus pancalus,Bangladesh
85,A_30,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Macrognathus pancalus,Mastacembelidae,Bogard_12,Zinc,1.3,zn,M. pan.,Macrognathus pancalus,Bangladesh
86,A_30,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Macrognathus pancalus,Mastacembelidae,Bogard_12,Calcium,491,ca,M. pan.,Macrognathus pancalus,Bangladesh
87,A_30,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Macrognathus pancalus,Mastacembelidae,Bogard_12,Iron,2.7,fe,M. pan.,Macrognathus pancalus,Bangladesh
88,A_30,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Macrognathus pancalus,Mastacembelidae,Bogard_12,Selenium,45,se,M. pan.,Macrognathus pancalus,Bangladesh
89,A_30,WoS,2015,Bangladesh,Medium,benthopelagic,tropical,whole (minus parts)*,Macrognathus pancalus,Mastacembelidae,Bogard_12,Vitamin A,78,vit_a,M. pan.,Macrognathus pancalus,Bangladesh
90,A_31,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Lepidocephalichthys guntea,Cobitidae,Bogard_12,Protein,17.2,protein,L. gun.,Lepidocephalichthys guntea,Bangladesh
91,A_31,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Lepidocephalichthys guntea,Cobitidae,Bogard_12,Zinc,2.5,zn,L. gun.,Lepidocephalichthys guntea,Bangladesh
92,A_31,WoS,2015,Bangladesh,Medium,demersal,tropical,whole (minus parts)*,Lepidocephalichthys guntea,Cobitidae,Bogard_12,Calcium,950,ca,L. gun.,Lepidocephalichthys guntea,Bangladesh
