,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
ExMu[530],2.625,0.446,1.891,3.5,0.016,0.011,790.0,790.0,770.0,2734.0,1.0
ExMu[531],1.028,0.189,0.693,1.403,0.018,0.013,106.0,106.0,101.0,422.0,1.03
ExMu[532],1.767,0.376,1.086,2.439,0.014,0.01,716.0,716.0,699.0,1279.0,1.06
ExMu[533],0.912,0.363,0.473,1.611,0.051,0.036,52.0,52.0,31.0,1574.0,1.09
ExMu[534],7.766,2.174,3.949,11.456,0.336,0.239,42.0,42.0,43.0,993.0,1.06
ExMu[535],1.572,0.567,0.668,2.597,0.02,0.014,770.0,770.0,796.0,1729.0,1.06
ExMu[536],8.478,2.449,4.28,12.889,0.709,0.557,12.0,10.0,14.0,49.0,1.21
ExMu[537],1.691,0.287,1.173,2.243,0.01,0.007,796.0,796.0,751.0,2512.0,1.02
ExMu[538],4.997,1.337,2.752,7.678,0.041,0.029,1089.0,1089.0,868.0,1877.0,1.02
ExMu[539],0.989,0.4,0.363,1.748,0.028,0.02,198.0,198.0,387.0,2112.0,1.02
ExMu[540],0.896,0.257,0.469,1.375,0.006,0.004,1684.0,1684.0,1369.0,2296.0,1.06
ExMu[541],0.993,0.312,0.452,1.599,0.031,0.022,104.0,104.0,127.0,489.0,1.03
ExMu[542],1.131,0.287,0.635,1.663,0.007,0.005,1936.0,1936.0,1228.0,2385.0,1.07
ExMu[543],0.664,0.118,0.443,0.88,0.003,0.002,1957.0,1957.0,1742.0,2499.0,1.06
ExMu[544],0.964,0.519,0.153,1.913,0.085,0.06,38.0,38.0,41.0,162.0,1.07
ExMu[545],0.956,0.286,0.474,1.496,0.042,0.03,48.0,48.0,46.0,2132.0,1.06
ExMu[546],2.171,0.983,0.477,3.936,0.026,0.018,1467.0,1467.0,322.0,1556.0,1.03
ExMu[547],3.017,2.04,0.194,6.768,0.214,0.152,91.0,91.0,84.0,251.0,1.08
ExMu[548],9.44,5.849,0.629,19.436,0.195,0.138,898.0,898.0,486.0,279.0,1.09
ExMu[549],3.95,2.74,0.484,8.612,0.458,0.327,36.0,36.0,27.0,923.0,1.1
