mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
453.445,125.306,229.893,685.711,1.813,1.302,4776.0,4635.0,4789.0,3740.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
357.793,105.984,179.346,554.747,1.575,1.143,4530.0,4300.0,4617.0,3829.0,1.0
319.714,132.732,109.073,559.806,1.967,1.443,4553.0,4228.0,4650.0,3748.0,1.0
319.714,132.732,109.073,559.806,1.967,1.443,4553.0,4228.0,4650.0,3748.0,1.0
319.714,132.732,109.073,559.806,1.967,1.443,4553.0,4228.0,4650.0,3748.0,1.0
207.406,87.958,76.753,381.017,1.271,0.944,4786.0,4342.0,4749.0,3589.0,1.0
207.406,87.958,76.753,381.017,1.271,0.944,4786.0,4342.0,4749.0,3589.0,1.0
207.406,87.958,76.753,381.017,1.271,0.944,4786.0,4342.0,4749.0,3589.0,1.0
146.906,55.428,58.52,253.78,0.812,0.588,4664.0,4450.0,4703.0,3410.0,1.0
146.906,55.428,58.52,253.78,0.812,0.588,4664.0,4450.0,4703.0,3410.0,1.0
146.906,55.428,58.52,253.78,0.812,0.588,4664.0,4450.0,4703.0,3410.0,1.0
371.172,135.237,151.638,624.717,1.907,1.389,5029.0,4738.0,5074.0,3598.0,1.0
371.172,135.237,151.638,624.717,1.907,1.389,5029.0,4738.0,5074.0,3598.0,1.0
274.01,245.411,20.452,671.744,4.334,3.161,3206.0,3013.0,4547.0,1816.0,1.0
259.64,112.27,79.56,456.757,1.681,1.242,4462.0,4087.0,4637.0,3755.0,1.0
369.991,112.202,187.321,579.13,1.784,1.274,3955.0,3881.0,4142.0,3635.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
140.113,37.383,76.036,210.029,0.555,0.402,4535.0,4330.0,4664.0,3711.0,1.0
174.463,53.737,83.121,270.94,0.772,0.555,4846.0,4690.0,4859.0,3586.0,1.0
160.789,65.318,57.91,280.89,0.958,0.689,4650.0,4492.0,4654.0,3620.0,1.0
226.447,102.257,66.276,409.899,1.519,1.096,4530.0,4355.0,4524.0,3395.0,1.0
346.474,104.737,173.013,546.124,1.557,1.131,4527.0,4286.0,4679.0,3633.0,1.0
138.585,69.912,38.558,263.963,1.005,0.77,4840.0,4120.0,5428.0,3645.0,1.0
319.47,102.994,148.82,502.978,1.466,1.058,4939.0,4742.0,4962.0,4173.0,1.0
213.001,96.29,69.231,384.573,1.361,1.009,5007.0,4554.0,5137.0,3407.0,1.0
250.014,235.97,10.603,614.945,3.855,2.849,3747.0,3431.0,5283.0,3089.0,1.0
204.459,72.524,78.081,329.61,1.108,0.804,4281.0,4068.0,4240.0,3524.0,1.0
187.172,59.835,91.209,301.419,0.857,0.622,4878.0,4630.0,4933.0,3488.0,1.0
164.343,53.014,74.657,262.177,0.761,0.562,4855.0,4453.0,5034.0,3765.0,1.0
164.343,53.014,74.657,262.177,0.761,0.562,4855.0,4453.0,5034.0,3765.0,1.0
285.368,93.743,129.225,460.694,1.45,1.036,4180.0,4096.0,4190.0,3852.0,1.0
226.447,102.257,66.276,409.899,1.519,1.096,4530.0,4355.0,4524.0,3395.0,1.0
210.671,95.525,76.964,388.218,1.386,1.075,4748.0,3946.0,4807.0,3725.0,1.0
293.032,111.907,112.869,491.044,1.764,1.272,4025.0,3870.0,4085.0,3528.0,1.0
293.032,111.907,112.869,491.044,1.764,1.272,4025.0,3870.0,4085.0,3528.0,1.0
293.032,111.907,112.869,491.044,1.764,1.272,4025.0,3870.0,4085.0,3528.0,1.0
519.314,338.391,82.284,1080.108,5.082,3.98,4434.0,3616.0,4892.0,3405.0,1.0
270.821,130.84,74.334,500.539,1.929,1.462,4603.0,4006.0,5050.0,3794.0,1.0
220.781,95.382,74.45,389.913,1.417,1.029,4528.0,4298.0,4650.0,3451.0,1.0
229.395,71.416,110.029,359.384,1.051,0.783,4619.0,4165.0,4771.0,3454.0,1.0
