,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Gen_nc[74],0.152,0.63,-0.989,1.312,0.014,0.011,1907.0,1508.0,1745.0,2315.0,1.0
Gen_nc[75],-0.107,0.748,-1.63,1.243,0.015,0.013,2517.0,1683.0,2372.0,2322.0,1.0
Gen_nc[76],-0.581,0.83,-2.216,0.844,0.028,0.021,911.0,817.0,882.0,1478.0,1.0
Gen_nc[77],-0.564,0.71,-1.884,0.794,0.016,0.012,1878.0,1786.0,1878.0,2050.0,1.01
Gen_nc[78],0.427,0.582,-0.652,1.537,0.014,0.01,1675.0,1566.0,1653.0,2149.0,1.0
Gen_nc[79],0.428,0.691,-0.869,1.705,0.017,0.012,1708.0,1708.0,1717.0,2242.0,1.0
Gen_nc[80],-0.757,0.558,-1.859,0.228,0.013,0.01,1879.0,1710.0,1881.0,2218.0,1.0
Gen_nc[81],0.001,0.735,-1.338,1.489,0.013,0.013,2986.0,1631.0,2972.0,2341.0,1.0
Gen_nc[82],-1.481,0.621,-2.635,-0.322,0.015,0.011,1743.0,1739.0,1720.0,2325.0,1.0
Gen_nc[83],-0.105,0.679,-1.411,1.159,0.013,0.013,2543.0,1381.0,2544.0,1799.0,1.0
Gen_nc[84],-0.572,0.552,-1.605,0.435,0.02,0.014,761.0,761.0,747.0,1806.0,1.01
Gen_nc[85],0.071,0.787,-1.405,1.493,0.016,0.014,2341.0,1648.0,2352.0,2567.0,1.0
Gen_nc[86],-1.249,0.539,-2.227,-0.194,0.028,0.02,359.0,359.0,377.0,118.0,1.01
Gen_nc[87],-0.057,0.85,-1.651,1.554,0.018,0.014,2312.0,1838.0,2300.0,2443.0,1.0
Gen_nc[88],-0.156,0.833,-1.682,1.421,0.016,0.014,2797.0,1652.0,2797.0,2719.0,1.0
Gen_nc[89],0.263,0.775,-1.044,1.777,0.029,0.021,697.0,697.0,739.0,2277.0,1.01
Gen_nc[90],-0.389,0.818,-1.847,1.205,0.015,0.014,2957.0,1671.0,2928.0,2191.0,1.0
Gen_nc[91],-0.038,0.656,-1.218,1.192,0.014,0.01,2273.0,2034.0,2232.0,2580.0,1.0
Gen_nc[92],-0.15,0.701,-1.403,1.197,0.019,0.014,1318.0,1318.0,1310.0,1847.0,1.0
Gen_nc[93],-0.474,0.81,-2.029,1.028,0.016,0.014,2451.0,1565.0,2437.0,2128.0,1.0
Gen_nc[94],1.124,0.626,-0.087,2.316,0.014,0.01,2118.0,2118.0,2129.0,2022.0,1.0
Gen_nc[95],-0.079,0.77,-1.584,1.281,0.015,0.013,2787.0,1658.0,2750.0,2293.0,1.01
Gen_nc[96],0.323,0.736,-0.99,1.754,0.03,0.024,620.0,470.0,594.0,451.0,1.01
Gen_nc[97],0.944,0.681,-0.259,2.258,0.017,0.013,1584.0,1464.0,1592.0,2414.0,1.0
Gen_nc[98],1.564,0.589,0.463,2.682,0.017,0.012,1224.0,1139.0,1126.0,1708.0,1.0
Gen_nc[99],-0.045,0.778,-1.428,1.477,0.016,0.012,2232.0,2030.0,2256.0,2360.0,1.0
Gen_nc[100],-0.446,0.776,-1.868,1.083,0.015,0.013,2586.0,1735.0,2556.0,2308.0,1.0
Gen_nc[101],0.797,0.506,-0.148,1.729,0.014,0.01,1343.0,1263.0,1342.0,2736.0,1.0
Gen_nc[102],0.148,0.747,-1.243,1.563,0.016,0.013,2201.0,1648.0,2196.0,2514.0,1.0
Gen_nc[103],0.508,0.74,-0.906,1.87,0.013,0.011,3096.0,2212.0,3074.0,2688.0,1.0
Gen_nc[104],-0.311,0.607,-1.461,0.812,0.016,0.012,1367.0,1367.0,1352.0,1443.0,1.0
Gen_nc[105],0.683,0.768,-0.726,2.135,0.02,0.014,1457.0,1457.0,1448.0,2388.0,1.0
Gen_nc[106],0.598,0.788,-0.931,2.007,0.017,0.016,2166.0,1199.0,2119.0,2041.0,1.0
Gen_nc[107],-0.2,0.753,-1.557,1.29,0.015,0.013,2452.0,1728.0,2468.0,2246.0,1.01
Gen_nc[108],-0.229,0.76,-1.726,1.07,0.028,0.021,731.0,658.0,752.0,505.0,1.01
Gen_nc[109],-0.095,0.739,-1.428,1.353,0.013,0.013,3142.0,1735.0,3108.0,2902.0,1.0
Gen_nc[110],0.126,0.775,-1.315,1.529,0.025,0.017,990.0,990.0,973.0,2749.0,1.01
