,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Nemipteridae,1.399,1.062,-0.515,3.494,0.156,0.16,46.0,23.0,53.0,15.0,1.06
Sphyraenidae,1.392,1.048,-0.482,3.464,0.155,0.156,46.0,23.0,53.0,15.0,1.06
Dussumieriidae,1.524,1.053,-0.344,3.561,0.145,0.145,53.0,27.0,59.0,16.0,1.05
Myctophidae,1.536,1.055,-0.373,3.481,0.14,0.137,57.0,30.0,61.0,17.0,1.05
Bregmacerotidae,1.462,1.07,-0.152,3.789,0.144,0.14,55.0,30.0,57.0,17.0,1.05
Synodontidae,1.351,1.052,-0.518,3.403,0.148,0.153,51.0,24.0,57.0,16.0,1.05
Gerreidae,1.409,1.053,-0.452,3.476,0.15,0.153,49.0,24.0,55.0,15.0,1.05
Acanthuridae,1.342,1.056,-0.545,3.488,0.157,0.162,45.0,22.0,58.0,15.0,1.06
Scaridae,1.345,1.071,-0.514,3.502,0.16,0.163,45.0,22.0,53.0,15.0,1.06
Monacanthidae,1.477,1.092,-0.448,3.589,0.155,0.157,49.0,25.0,55.0,14.0,1.06
Labridae,1.397,1.047,-0.397,3.563,0.153,0.156,47.0,23.0,56.0,15.0,1.06
Siganidae,1.367,1.053,-0.491,3.477,0.155,0.159,46.0,23.0,56.0,15.0,1.06
Mastacembelidae,1.362,1.076,-0.569,3.477,0.15,0.154,52.0,25.0,56.0,16.0,1.05
Osphronemidae,1.396,1.049,-0.444,3.484,0.157,0.157,45.0,23.0,53.0,15.0,1.06
Ambassidae,1.394,1.056,-0.453,3.473,0.151,0.156,49.0,24.0,56.0,15.0,1.05
Notopteridae,1.389,1.081,-0.534,3.536,0.161,0.161,45.0,23.0,51.0,15.0,1.06
Bagridae,1.464,1.067,-0.468,3.55,0.151,0.155,50.0,24.0,57.0,15.0,1.06
Cobitidae,1.43,1.068,-0.477,3.474,0.142,0.148,57.0,27.0,61.0,16.0,1.05
Ailiidae,1.465,1.082,-0.454,3.575,0.154,0.156,50.0,25.0,56.0,16.0,1.05
Anabantidae,1.419,1.046,-0.459,3.467,0.153,0.154,47.0,24.0,53.0,15.0,1.06
Clariidae,1.464,1.061,-0.444,3.543,0.157,0.157,45.0,23.0,52.0,15.0,1.06
Nandidae,1.411,1.073,-0.485,3.472,0.15,0.151,51.0,26.0,57.0,16.0,1.05
Siluridae,1.47,1.081,-0.42,3.6,0.153,0.156,50.0,25.0,55.0,15.0,1.06
Botiidae,1.419,1.063,-0.495,3.479,0.145,0.15,53.0,26.0,60.0,16.0,1.05
Heteropneustidae,1.452,1.055,-0.456,3.532,0.153,0.156,48.0,23.0,58.0,15.0,1.05
Channidae,1.388,1.067,-0.493,3.48,0.153,0.157,49.0,24.0,56.0,15.0,1.06
Percidae,1.357,1.065,-0.517,3.478,0.152,0.158,49.0,23.0,57.0,15.0,1.05
Lotidae,1.428,1.055,-0.512,3.425,0.143,0.142,55.0,28.0,59.0,16.0,1.05
Esocidae,1.503,1.064,-0.407,3.55,0.148,0.147,52.0,27.0,58.0,16.0,1.05
Sigma_genus,0.896,0.079,0.755,1.053,0.005,0.003,288.0,288.0,278.0,1034.0,1.01
Merluccius,1.532,1.075,-0.187,3.568,0.125,0.117,74.0,43.0,76.0,48.0,1.04
Scomber,2.632,1.088,0.94,4.852,0.14,0.123,60.0,40.0,58.0,28.0,1.05
Engraulis,1.388,1.167,-0.454,3.92,0.17,0.177,47.0,22.0,55.0,13.0,1.06
Lophius,1.029,1.125,-0.836,3.199,0.139,0.135,66.0,35.0,66.0,29.0,1.05
Prionace,0.247,1.144,-1.525,2.573,0.158,0.136,53.0,36.0,63.0,46.0,1.05
Micromesistius,0.42,1.166,-1.565,2.643,0.104,0.074,126.0,126.0,142.0,215.0,1.02
Galeus,0.385,1.173,-1.339,3.078,0.188,0.203,39.0,17.0,49.0,14.0,1.06
Solea,0.682,1.228,-1.148,3.45,0.181,0.19,46.0,22.0,56.0,18.0,1.05
Dicentrarchus,0.387,1.098,-1.459,2.417,0.112,0.089,96.0,77.0,104.0,97.0,1.03
Sparus,-1.762,1.188,-3.654,0.673,0.138,0.098,74.0,74.0,77.0,43.0,1.04
Lepidorhombus,1.197,1.154,-0.509,3.655,0.148,0.16,61.0,26.0,61.0,23.0,1.05
Mullus,0.969,1.065,-0.98,2.844,0.089,0.068,144.0,122.0,170.0,305.0,1.02
Salmo,1.064,1.088,-0.774,3.342,0.1,0.077,119.0,99.0,121.0,166.0,1.02
Sardina,2.048,1.16,0.255,4.563,0.167,0.161,48.0,26.0,55.0,14.0,1.05
Trachurus,1.671,1.046,0.046,3.777,0.126,0.125,68.0,36.0,71.0,25.0,1.05
Xiphias,1.772,1.213,-0.096,4.406,0.19,0.174,41.0,25.0,45.0,16.0,1.06
Thunnus,1.681,1.235,-0.172,4.179,0.161,0.156,59.0,32.0,63.0,33.0,1.05
Pampus,2.303,1.318,0.116,5.556,0.262,0.244,25.0,15.0,46.0,12.0,1.06
Stolephorus,1.786,1.154,0.052,4.194,0.158,0.154,54.0,29.0,56.0,15.0,1.06
Johnius,1.975,1.179,0.075,4.38,0.156,0.152,57.0,31.0,62.0,18.0,1.05
Scomberomorus,1.532,1.186,-0.26,4.028,0.168,0.166,50.0,26.0,57.0,20.0,1.05
Platycephalus,2.073,1.175,0.111,4.495,0.149,0.138,62.0,37.0,75.0,47.0,1.04
Chelon,0.089,1.199,-1.923,2.677,0.198,0.204,36.0,18.0,47.0,12.0,1.06
Eleutheronema,1.332,1.331,-0.489,4.916,0.256,0.257,27.0,14.0,49.0,11.0,1.06
Sillaginopsis,1.327,1.235,-0.641,3.971,0.186,0.18,44.0,24.0,52.0,25.0,1.05
Glossogobius,1.222,1.104,-0.717,3.286,0.123,0.111,80.0,50.0,88.0,62.0,1.03
Hyporhamphus,0.973,1.195,-0.815,3.771,0.181,0.197,43.0,19.0,57.0,13.0,1.06
Corica,0.489,1.102,-1.433,2.453,0.11,0.092,101.0,72.0,117.0,165.0,1.02
Xenentodon,1.284,1.173,-0.611,3.781,0.189,0.194,39.0,19.0,49.0,13.0,1.06
Eleotris,1.595,1.151,-0.244,4.025,0.155,0.146,55.0,32.0,72.0,44.0,1.04
Tenualosa,1.392,1.153,-0.561,3.822,0.171,0.178,45.0,21.0,57.0,13.0,1.06
Clupeonella,-0.048,1.107,-1.993,2.21,0.077,0.055,206.0,206.0,204.0,230.0,1.02
Pagellus,2.534,1.138,0.758,4.983,0.159,0.147,51.0,31.0,58.0,15.0,1.05
Sarda,1.411,1.053,-0.45,3.256,0.106,0.091,98.0,67.0,112.0,224.0,1.03
Gadus,0.945,1.047,-0.814,2.836,0.105,0.094,100.0,63.0,112.0,190.0,1.02
Pleuronectes,1.832,1.258,-0.364,4.649,0.219,0.211,33.0,18.0,45.0,15.0,1.06
Reinhardtius,2.227,1.128,-0.001,4.118,0.139,0.132,66.0,37.0,66.0,26.0,1.06
Melanogrammus,1.683,1.228,-0.649,4.164,0.212,0.206,34.0,18.0,46.0,15.0,1.06
Cyclopterus,1.739,1.23,-0.107,4.609,0.193,0.191,41.0,21.0,51.0,15.0,1.06
Pollachius,1.561,1.245,-0.544,4.216,0.204,0.201,37.0,20.0,47.0,13.0,1.06
Sebastes,2.428,1.039,0.692,4.412,0.114,0.105,83.0,50.0,85.0,57.0,1.04
Anarhichas,1.81,1.304,-0.074,4.925,0.208,0.205,39.0,21.0,52.0,12.0,1.06
Hippoglossus,1.879,1.216,0.067,4.613,0.183,0.177,44.0,24.0,52.0,17.0,1.05
Salvelinus,1.05,1.166,-1.001,3.146,0.132,0.125,78.0,44.0,81.0,73.0,1.04
Beringraja,1.189,1.12,-0.535,3.65,0.172,0.184,43.0,19.0,56.0,16.0,1.05
Argyrosomus,1.055,1.111,-0.764,3.217,0.121,0.129,85.0,38.0,86.0,38.0,1.04
Clupea,1.366,1.119,-0.511,3.302,0.113,0.102,98.0,60.0,97.0,183.0,1.03
