,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Fam_nc[61],-0.479,1.082,-2.197,1.396,0.218,0.189,25.0,17.0,28.0,86.0,1.1
Fam_nc[62],0.326,0.917,-1.581,1.694,0.125,0.089,54.0,54.0,48.0,1375.0,1.06
Fam_nc[63],0.225,0.866,-1.325,1.78,0.082,0.058,113.0,113.0,112.0,1585.0,1.07
Fam_nc[64],0.229,0.989,-1.576,1.92,0.169,0.121,34.0,34.0,34.0,1091.0,1.08
Fam_nc[65],-0.194,1.136,-1.919,1.737,0.265,0.19,18.0,18.0,20.0,117.0,1.13
Fam_nc[66],0.143,0.87,-1.606,1.607,0.1,0.071,75.0,75.0,64.0,1320.0,1.05
Fam_nc[67],-0.034,0.953,-1.509,2.026,0.133,0.095,51.0,51.0,49.0,930.0,1.06
Fam_nc[68],-0.291,0.922,-1.888,1.542,0.098,0.069,89.0,89.0,86.0,932.0,1.03
Fam_nc[69],0.08,1.053,-1.914,2.125,0.153,0.152,48.0,24.0,52.0,25.0,1.13
Fam_nc[70],-0.103,1.086,-2.034,1.57,0.238,0.171,21.0,21.0,23.0,414.0,1.11
Fam_nc[71],-0.0,0.902,-1.733,1.627,0.075,0.053,143.0,143.0,209.0,1179.0,1.03
Fam_nc[72],-0.137,0.902,-1.979,1.446,0.081,0.07,125.0,83.0,130.0,1106.0,1.07
Fam_nc[73],0.187,0.924,-1.653,1.822,0.057,0.041,260.0,260.0,317.0,1600.0,1.08
Fam_nc[74],0.599,1.234,-1.32,2.683,0.291,0.277,18.0,10.0,21.0,38.0,1.13
Fam_nc[75],0.271,0.856,-1.589,1.829,0.024,0.037,1241.0,262.0,940.0,1345.0,1.08
Fam_nc[76],0.098,1.061,-1.937,1.707,0.136,0.097,61.0,61.0,68.0,224.0,1.05
Fam_nc[77],-0.33,0.935,-1.799,1.594,0.099,0.07,89.0,89.0,104.0,1387.0,1.03
