,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Gen_nc[113],-0.046,0.966,-1.484,1.884,0.256,0.185,14.0,14.0,18.0,29.0,1.14
Gen_nc[114],-0.447,0.821,-1.835,1.204,0.094,0.067,76.0,76.0,79.0,2295.0,1.04
Gen_nc[115],-0.333,0.78,-1.828,1.105,0.028,0.02,762.0,762.0,713.0,2188.0,1.02
Gen_nc[116],0.304,0.813,-1.141,1.992,0.044,0.045,338.0,167.0,393.0,1083.0,1.02
Gen_nc[117],-0.545,0.812,-2.003,1.026,0.021,0.015,1463.0,1463.0,1491.0,2240.0,1.01
Gen_nc[118],1.008,0.738,-0.467,2.25,0.088,0.063,70.0,70.0,73.0,1402.0,1.04
Gen_nc[119],-1.676,0.835,-3.261,-0.055,0.026,0.018,1051.0,1051.0,1015.0,2264.0,1.05
benthopelagic,-0.224,0.399,-0.972,0.545,0.014,0.01,770.0,770.0,774.0,1137.0,1.11
demersal,-0.063,0.395,-0.781,0.703,0.014,0.011,756.0,643.0,758.0,1144.0,1.1
pelagic,0.849,0.629,-0.445,1.964,0.016,0.012,1574.0,1415.0,1513.0,2000.0,1.07
pelagic_neritic,-0.075,0.401,-0.817,0.682,0.015,0.013,729.0,484.0,732.0,1027.0,1.05
pelagic_oceanic,0.039,0.418,-0.805,0.815,0.015,0.012,817.0,656.0,823.0,1584.0,1.06
reef_associated,-0.71,0.417,-1.497,0.089,0.015,0.011,759.0,759.0,760.0,1139.0,1.08
polar_deep,-0.18,0.498,-1.113,0.789,0.018,0.013,791.0,787.0,806.0,1110.0,1.06
subtropical,-0.061,0.474,-0.888,0.848,0.035,0.025,184.0,184.0,203.0,1274.0,1.03
temperate,0.351,0.49,-0.493,1.312,0.032,0.023,235.0,233.0,313.0,645.0,1.02
tropical,-0.363,0.48,-1.201,0.594,0.03,0.021,263.0,263.0,384.0,1141.0,1.03
MaxDepth,0.092,0.056,-0.012,0.203,0.001,0.001,1477.0,986.0,1452.0,1529.0,1.04
TL,0.139,0.108,-0.062,0.351,0.003,0.002,1294.0,1208.0,1275.0,1592.0,1.06
benthic,-0.152,0.684,-1.156,1.181,0.134,0.096,26.0,26.0,27.0,618.0,1.1
pelagic,-0.199,0.684,-1.325,1.092,0.129,0.092,28.0,28.0,29.0,867.0,1.09
LMax,-0.134,0.099,-0.333,0.043,0.003,0.002,1220.0,1220.0,1195.0,1910.0,1.04
elongate,-0.225,0.287,-0.788,0.312,0.008,0.007,1417.0,876.0,1382.0,1566.0,1.11
flat,-0.098,0.393,-0.788,0.721,0.009,0.009,1743.0,1018.0,1753.0,1832.0,1.1
fusiform,0.191,0.275,-0.336,0.715,0.01,0.007,822.0,822.0,815.0,1860.0,1.03
short_deep,0.127,0.296,-0.441,0.659,0.024,0.017,154.0,154.0,161.0,1907.0,1.03
K,-0.265,0.258,-0.778,0.208,0.008,0.006,1132.0,905.0,1123.0,1220.0,1.09
tm,-0.143,0.141,-0.41,0.132,0.004,0.004,1106.0,543.0,1098.0,1223.0,1.09
muscle,-0.404,0.536,-1.414,0.633,0.016,0.019,1136.0,407.0,1142.0,1534.0,1.11
whole,0.166,0.528,-0.849,1.142,0.015,0.013,1198.0,865.0,1206.0,738.0,1.13
whole_parts,0.052,0.535,-0.949,1.106,0.016,0.024,1154.0,247.0,1133.0,1693.0,1.1
dry,0.811,0.534,-0.167,1.868,0.016,0.011,1094.0,1094.0,1095.0,1737.0,1.1
unknown,-0.596,0.548,-1.649,0.412,0.023,0.022,574.0,318.0,608.0,1734.0,1.02
wet,-0.363,0.533,-1.374,0.609,0.022,0.02,608.0,367.0,622.0,1587.0,1.01
Sigma_class,0.486,0.424,0.001,1.31,0.111,0.083,14.0,14.0,24.0,124.0,1.12
Actinopterygii,-0.077,0.848,-1.743,1.294,0.12,0.086,50.0,50.0,52.0,1471.0,1.06
Elasmobranchii,-0.11,0.94,-1.866,1.344,0.172,0.123,30.0,30.0,33.0,795.0,1.08
